sample_id,regime,decode_mode,sample_path,window,slew_limit,mode,parse_errors,frames_260,status,point_mae,point_p95_abs_error,delta_mae,delta_p95_abs_error,oversmoothed_ratio,undersmoothed_ratio,target_pos_saturation_ratio,target_neg_saturation_ratio,replay_pos_saturation_ratio,replay_neg_saturation_ratio
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,75.0,bounded,0,630,ok,648.883,4870.85,53.444,260.0,0.299,0.154,0.0,0.227,0.0,0.217
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,100.0,bounded,0,630,ok,641.733,4870.85,50.429,258.6,0.302,0.122,0.0,0.227,0.0,0.221
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,125.0,bounded,0,630,ok,636.467,4870.85,47.132,258.6,0.302,0.116,0.0,0.227,0.0,0.221
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,75.0,identity,0,630,ok,65.483,320.3,56.156,190.6,0.184,0.258,0.0,0.227,0.0,0.221
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,100.0,identity,0,630,ok,42.241,201.3,50.862,165.0,0.184,0.203,0.0,0.227,0.0,0.222
anchor_190101_window,anchor_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260312_190101_000.ndjson,abs:1773342240000.0->abs:1773342255000.0,125.0,identity,0,630,ok,29.567,143.55,45.119,139.0,0.188,0.191,0.0,0.227,0.0,0.222
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,75.0,bounded,0,1254,ok,674.813,7191.3,70.709,262.0,0.289,0.18,0.0,0.095,0.0,0.089
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,100.0,bounded,0,1254,ok,664.924,7191.3,65.695,260.0,0.291,0.147,0.0,0.095,0.0,0.091
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,125.0,bounded,0,1254,ok,657.327,7191.3,60.193,259.4,0.29,0.14,0.0,0.095,0.0,0.091
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,75.0,identity,0,1254,ok,302.864,3026.35,71.929,215.0,0.255,0.218,0.0,0.095,0.0,0.089
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,100.0,identity,0,1254,ok,152.729,1350.65,67.13,187.4,0.255,0.184,0.0,0.095,0.0,0.091
partial_171414_ramp,partial_ramp_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260316/raw_can_logs/toyota_seg_IGN_ON_20260315_171414_000.ndjson,rel:390.0->rel:420.0,125.0,identity,0,1254,ok,78.928,458.7,60.27,158.4,0.255,0.174,0.0,0.095,0.0,0.091
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,75.0,bounded,0,632,ok,38.443,189.0,50.103,190.0,0.184,0.204,0.0,0.0,0.0,0.0
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,100.0,bounded,0,632,ok,29.617,164.0,45.382,165.0,0.187,0.165,0.0,0.0,0.0,0.0
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,125.0,bounded,0,632,ok,22.891,139.0,40.111,140.0,0.187,0.152,0.0,0.0,0.0,0.0
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,75.0,identity,0,632,ok,38.443,189.0,50.103,190.0,0.184,0.204,0.0,0.0,0.0,0.0
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,100.0,identity,0,632,ok,29.617,164.0,45.382,165.0,0.187,0.165,0.0,0.0,0.0,0.0
compact_184921_ramp,compact_partial_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/toyota_seg_IGN_ON_20260311_184921_000.ndjson,rel:90.0->rel:105.0,125.0,identity,0,632,ok,22.891,139.0,40.111,140.0,0.187,0.152,0.0,0.0,0.0,0.0
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,75.0,bounded,0,1307,ok,977.288,5596.7,69.93,264.75,0.377,0.122,0.0,0.259,0.0,0.255
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,100.0,bounded,0,1307,ok,967.865,5596.7,66.104,264.0,0.377,0.1,0.0,0.259,0.0,0.255
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,125.0,bounded,0,1307,ok,961.63,5596.7,61.853,263.0,0.378,0.093,0.0,0.259,0.0,0.256
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,75.0,identity,0,1307,ok,126.364,663.9,73.273,268.75,0.253,0.231,0.0,0.259,0.0,0.264
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,100.0,identity,0,1307,ok,87.01,487.0,67.657,176.0,0.253,0.201,0.0,0.259,0.0,0.26
city_20260418_active_band4,city_active_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_seg_IGN_ON_20260418_163136_000.ndjson,rel:90.0->rel:120.0,125.0,identity,0,1307,ok,61.254,366.7,60.704,147.0,0.253,0.189,0.0,0.259,0.0,0.26
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,75.0,bounded,0,7410,ok,1282.717,11215.0,96.578,254.6,0.443,0.216,0.148,0.008,0.148,0.001
city_20260418_hold_early,city_hold_window,no_b1_flip,/mnt/d/Temp/20260312/raw_can_logs/20260418/raw_can_logs/toyota_all_20260418_175240_000.ndjson,rel:1.0->rel:181.0,100.0,bounded,0,7410,ok,1243.841,11215.0,88.552,254.0,0.444,0.178,0.148,0.008,0.148,0.005
